airport,type of traffic,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,location,point,latitude,longitude,altitude
Andenes Andøya,"Helicopter, continental shelf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Andenes Andøya,Non-scheduled passenger flights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,95,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Andenes Andøya,Other commercial flights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Andenes Andøya,"Helicopter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Bardufoss,All commercial flights,16572,15367,13897,14391,13730,16720,17014,16023,17291,20565,18507,16809,17454,14545,14527,14341,14043,18389,16539,18795,19299,22625,18142,16828,16804,17131,16282,14396,15653,17279,18511,18878,18275,22043,18178,17754,17639,17124,17261,14909,15083,18281,19575,18589,20132,21401,19654,18137,18912,18263,17825,15614,18121,17032,18913,20737,21627,22805,21156,19880,19034,18288,17563,17138,21332,20428,17160,22855,22881,24348,23215,21016,20970,16180,17688,17566,17261,17124,20232,22770,23812,26362,22139,21724,21282,17935,17980,16706,17607,17387,20080,21979,22274,25642,22412,19993,20224,17753,19640,17548,16651,18157,22623,21991,22826,24912,22292,20936,20455,18312,19395,19247,16999,9825,3802,7915,10847,14477,12039,10863,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
Bardufoss,Other commercial flights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
Bardufoss,Scheduled passenger flights,16540,15195,13429,13789,13730,16720,15147,15680,16925,20389,18232,16539,16755,14193,13538,13648,14043,17404,15051,17731,18930,22347,18142,16828,16804,16954,15157,13703,15507,16233,17465,17563,18116,21928,18178,17754,17639,16201,16144,14070,14936,17052,18080,17828,19889,21191,17505,17980,18540,17706,16862,14711,18121,14011,17898,18836,21625,22755,19960,19879,18969,18288,17466,16357,18223,17638,16902,20695,22880,24023,21770,20753,20970,16180,17148,16814,17261,17124,20232,22770,23809,26353,22139,21724,21282,17935,17980,16706,17603,17387,20080,21979,22274,25633,22412,19993,20224,17753,19640,17383,16651,18007,22623,21991,22824,24905,22292,20936,20455,18312,19395,18317,16999,9230,3735,7658,10713,14411,11880,10863,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
Bardufoss,"Helicopter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
Bardufoss,"Helicopter, continental shelf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
Bardufoss,Freight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bardufoss, Målselv, Troms og Finnmark, 9325, Norge","(69.0650033, 18.5207537, 0.0)",69.0650033,18.5207537,0.0
